f1_macro,f1_xmode,f1_zmode,auc_roc,auc_pr,mcc,bal_acc,brier,model,held_out,H,stopped_epoch
0.8032323604143743,0.6553277765262446,0.9511369443025038,0.8291277558217712,0.5995283655175463,0.6099648533898872,0.7827675990446922,0.07641219788924385,CNN,Monaco,10,80
0.704933179658767,0.4694640631491483,0.9404022961683857,0.8805059394395498,0.5598123879090409,0.44932724713665984,0.6642318813679438,0.09653358306590577,LSTM,Monaco,10,80
0.7102379346457462,0.49608746918212027,0.9243884001093723,0.8669573871794052,0.49509820787898245,0.4209302181747371,0.7042471167307868,0.10418314423396516,GRU,Monaco,10,80
0.7982519311666549,0.6416885225427751,0.9548153397905347,0.9460340756250414,0.7509769428293614,0.6152908895412659,0.7561497429808526,0.06614309228397722,TCN,Monaco,10,80
0.8725673515527252,0.7797134316049892,0.9654212715004612,0.9711120113857312,0.756590674311839,0.7451452876451662,0.873967470292355,0.04682995448718102,Transformer,Monaco,10,68
0.8689658365960482,0.897860573424538,0.8400710997675584,0.907037009449701,0.8889071603794665,0.7561878249740371,0.8612423945531138,0.10044653700423674,CNN,Monza,10,80
0.8254983152587791,0.8517157241251506,0.7992809063924077,0.8734669559839631,0.8468824341794571,0.6522547444162674,0.8234259657215599,0.15331306910578724,LSTM,Monza,10,80
0.8801193477291016,0.9051746936616615,0.8550640017965416,0.9187112243190572,0.9156716954842508,0.7744460866103263,0.872855321393185,0.10083427859835101,GRU,Monza,10,80
0.8582987946574497,0.8851861805368927,0.8314114087780068,0.8851387460916738,0.84744709157014,0.724769468351834,0.8529704714269779,0.11008033679854798,TCN,Monza,10,80
0.8356168709284157,0.8652196164614505,0.8060141253953811,0.8853111015328186,0.8788400534548655,0.6769930806578577,0.8313805577792506,0.13298125137298386,Transformer,Monza,10,80
0.8047710490933146,0.7949897517649738,0.8145523464216555,0.9303691305314225,0.8828891970018787,0.6651209964198547,0.8389205988926046,0.15671374462464677,CNN,Silverstone,10,80
0.9069309765744542,0.8863585869806709,0.9275033661682376,0.9709660970754479,0.9520849953718086,0.8141183367447339,0.9092098464294767,0.07615119926484966,LSTM,Silverstone,10,80
0.9227736456549362,0.9060272913098724,0.93952,0.975587419587129,0.9547952394059048,0.8460357747707301,0.9260194859328954,0.06287312896314041,GRU,Silverstone,10,80
0.917103837130304,0.8998524831994755,0.9343551910611324,0.9667922231160482,0.9326032193575483,0.8353845145712414,0.9221292654338644,0.0665503634935774,TCN,Silverstone,10,80
0.9104687856899039,0.8923944272781482,0.9285431441016595,0.9614645966019112,0.9021789491150354,0.8227733941587193,0.9167079122559175,0.07066824197446589,Transformer,Silverstone,10,74
0.5490460794113515,0.28658012203611943,0.8115120367865837,0.5209613479567035,0.49847663342656456,0.25622694751450587,0.5734470022960052,0.2659131903490131,CNN,Suzuka,10,80
0.5816848943590631,0.3738305038614636,0.7895392848566626,0.7863674263141462,0.5774322637398615,0.21773608409510187,0.5854406456289799,0.2809034860831651,LSTM,Suzuka,10,74
0.7727943402058138,0.6869514979779361,0.8586371824336916,0.8908920526679595,0.7934844768636995,0.5514716812505581,0.7628894613278265,0.15341085266915,GRU,Suzuka,10,61
0.6677574206735621,0.5218930216946877,0.8136218196524366,0.7089438953579497,0.6196842049498078,0.36073692584422096,0.6586991760165439,0.24119255043702484,TCN,Suzuka,10,61
0.7682193738261529,0.6704558910597987,0.865982856592507,0.8883744497176015,0.7511516578352226,0.557438587814835,0.751699482842149,0.1592924638287146,Transformer,Suzuka,10,62
