model,test_circuit,best_hidden,best_dropout,test_auc
CNN,Monaco,64,0.3,0.8663
LSTM,Monaco,128,0.2,0.9201
GRU,Monaco,128,0.2,0.8988
TCN,Monaco,128,0.2,0.9247
Transformer,Monaco,64,0.3,0.965
CNN,Monza,128,0.2,0.9023
LSTM,Monza,128,0.2,0.8305
GRU,Monza,128,0.2,0.8897
TCN,Monza,64,0.3,0.9084
Transformer,Monza,128,0.2,0.9023
CNN,Silverstone,64,0.3,0.9399
LSTM,Silverstone,128,0.2,0.9713
GRU,Silverstone,64,0.3,0.9664
TCN,Silverstone,128,0.2,0.9707
Transformer,Silverstone,64,0.3,0.9613
CNN,Suzuka,128,0.2,0.551
LSTM,Suzuka,128,0.2,0.8524
GRU,Suzuka,128,0.2,0.9234
TCN,Suzuka,64,0.3,0.5504
Transformer,Suzuka,128,0.2,0.8832
